"Site Time","Production meter active power Kilowatts","POA Sensor Watts/meter²","POA* Watts/meter²","Weather station module temperature Degrees Fahrenheit","Weather station ambient temperature Degrees Fahrenheit","Weather station rain Inches","Weather station Wind speed Meters/second","Weather station Humidity Relative humidity (%)","Elkor Production Meter; Power factor phase angle Power factor phase angle"
01-01-2025 00:00:00,253.182,122.071,138.637,21.7,20.883,1.68,2.45,65.746,64.349
02-01-2025 00:00:00,284.981,138.201,156.629,26.407,24.481,1.68,2.802,69.916,61.535
03-01-2025 00:00:00,392.122,200.742,219.828,42.285,39.253,1.68,3.6,71.193,57.935
04-01-2025 00:00:00,429.32,227.392,244.326,49.519,45.137,1.68,2.797,72.027,53.768
05-01-2025 00:00:00,521.851,289.7,303.26,59.342,52.247,1.689,2.251,76.378,49.895
06-01-2025 00:00:00,580.064,324.549,337.972,78.206,68.637,1.773,1.789,74.526,48.398
07-01-2025 00:00:00,539.02,302.832,313.59,81.666,72.78,1.966,1.6,82.613,49.221
08-01-2025 00:00:00,540.384,300.312,313.243,77.26,69.349,2.145,1.594,80.719,52.904
09-01-2025 00:00:00,484.655,262.844,278.289,70.241,63.789,2.241,1.332,81.4,57.034
10-01-2025 00:00:00,320.028,166.497,183.509,58.364,56.092,2.341,2.03,74.291,60.605
11-01-2025 00:00:00,195.734,99.922,113.174,41.03,40.771,2.424,11.333,71.42,63.387
12-01-2025 00:00:00,143.63,69.811,81.888,26.199,25.52,2.48,2.213,76.083,64.808
