"Site Time","Production meter active power Kilowatts","POA Sensor Watts/meter²","POA* Watts/meter²","Weather station module temperature Degrees Fahrenheit","Weather station ambient temperature Degrees Fahrenheit","Weather station rain Inches","Weather station Wind speed Meters/second","Weather station Humidity Relative humidity (%)","Elkor Production Meter; Power factor phase angle Power factor phase angle"
01-01-2024 00:00:00,150.939,63.724,86.468,24.498,72.984,1.769,245,81.82,63.058
02-01-2024 00:00:00,321.786,155.398,178.556,36.723,35.028,0.011,7.358,63.788,61.008
03-01-2024 00:00:00,373.971,191.054,206.292,42.119,39.505,0.082,7.943,68.781,56.578
04-01-2024 00:00:00,459.825,251.34,266.307,53.11,48.638,0.27,2.912,68.664,52.542
05-01-2024 00:00:00,501.587,314.972,328.022,66.003,58.1,0.492,2.462,74.941,49.535
06-01-2024 00:00:00,506.165,313.985,326.287,76.79,68.62,0.706,2.119,73.788,47.153
07-01-2024 00:00:00,561.022,314.864,326.627,79.645,70.193,0.94,1.644,81.55,48.673
08-01-2024 00:00:00,516.932,284.882,296.421,78.141,70.278,1.206,1.701,79.734,52.072
09-01-2024 00:00:00,459.368,268.148,283.486,71.825,65.62,1.292,1.624,78.369,56.241
10-01-2024 00:00:00,391.047,202.138,219.839,58.579,56.272,1.454,2.071,64.481,60.727
11-01-2024 00:00:00,147.737,73.321,84.59,44.507,44.03,1.618,4.047,80.495,63.469
12-01-2024 00:00:00,135.156,65.323,76.321,31.014,30.699,1.675,2.693,77.047,64.911
